0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
351.879,286.019,288.429,302.689,243.699,286.585,300.431,277.485,298.681,362.596,301.429,248.973,359.511,280.853,291.746,285.829,247.031,303.329,405.007,274.503,392.064,418.415,254.916,267.445,297.578,249.833,265.910,259.771,424.690,279.715,315.246,291.571,242.696,301.714,8.700
444.508,305.936,276.634,310.519,249.925,274.544,289.908,294.889,312.462,375.871,329.524,255.157,321.458,265.325,274.492,273.004,265.392,296.733,397.913,310.831,375.964,406.020,242.537,259.159,310.104,248.381,250.820,244.093,390.980,278.557,281.769,324.098,242.595,302.427,9.124
584.216,282.048,287.266,302.117,249.253,296.109,298.528,290.162,315.852,515.758,344.293,243.087,319.432,278.215,299.738,270.825,263.629,269.807,365.507,317.328,363.236,404.730,260.484,258.293,353.545,256.817,263.774,246.355,396.495,271.170,268.377,276.992,247.008,310.923,12.936
663.990,320.041,293.083,311.699,246.344,284.803,292.123,301.308,292.281,555.118,340.639,254.659,301.626,263.335,279.639,282.109,271.619,289.540,415.913,336.514,356.521,373.065,245.026,283.427,364.955,238.897,273.556,251.840,378.760,283.814,269.492,317.571,241.363,317.414,15.054
723.794,321.892,286.810,297.879,251.363,272.510,285.195,289.066,293.238,583.230,338.925,250.910,315.942,264.435,276.820,284.840,238.268,286.590,410.457,315.322,338.836,368.125,223.084,274.055,375.903,259.127,247.865,252.443,346.285,276.874,271.408,323.038,243.189,314.779,16.921
730.698,342.086,315.186,304.612,242.323,293.245,271.369,295.742,310.014,606.713,363.912,247.100,296.747,257.555,275.697,279.829,259.918,305.280,407.225,343.339,302.757,385.630,231.021,270.512,394.305,242.690,272.391,241.199,337.955,277.787,301.646,320.075,247.700,320.432,17.441
738.905,345.000,300.044,284.670,260.704,288.388,295.810,307.833,312.838,609.713,355.837,246.542,293.253,284.518,283.549,291.967,246.103,281.609,442.196,322.017,303.071,378.710,242.784,276.677,377.494,248.706,273.083,260.521,294.915,277.273,256.169,290.857,237.637,318.466,17.654
724.754,321.067,310.700,297.184,249.805,287.898,285.467,279.515,295.267,516.697,309.068,251.003,294.095,261.545,274.689,300.978,255.907,276.224,418.790,319.565,317.621,397.435,257.616,287.945,381.351,255.675,287.579,258.145,277.080,284.980,266.977,294.045,240.056,313.234,15.886
609.970,286.245,329.261,294.510,247.955,298.850,284.123,294.338,309.576,508.247,299.156,248.632,305.411,260.717,300.787,288.749,268.474,269.106,402.986,287.085,269.257,412.600,292.632,286.213,389.857,260.659,281.571,247.048,255.020,280.447,272.715,282.008,246.600,308.206,13.258
577.357,285.503,366.170,300.490,243.061,340.980,295.964,293.455,295.676,510.708,293.810,247.244,299.600,255.660,281.041,295.993,229.021,283.826,437.145,247.565,281.214,425.565,353.737,302.305,358.143,251.325,284.368,240.280,266.055,296.340,277.354,300.729,239.390,310.820,13.313
522.296,300.118,430.370,296.335,260.485,397.585,323.872,322.551,307.119,490.994,299.422,280.689,299.711,255.147,298.189,300.760,263.124,277.503,505.543,242.390,270.964,416.830,379.095,348.073,346.617,247.897,291.820,263.925,254.560,309.032,263.985,302.489,243.973,321.620,13.049
