0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
267.858,268.934,422.944,297.190,363.065,498.547,267.670,283.442,267.936,393.848,428.522,375.625,291.423,295.620,338.173,276.187,289.337,330.960,16.622
267.572,273.000,416.928,290.669,360.935,491.057,265.970,274.755,264.319,423.108,427.956,369.545,293.470,313.168,328.784,275.962,284.524,330.690,16.746
267.093,269.749,421.572,287.746,348.024,503.911,273.571,286.771,263.381,399.538,427.171,406.473,294.790,298.697,331.546,270.091,280.919,331.238,17.264
269.077,269.395,391.100,287.117,356.192,484.154,265.624,281.345,269.050,411.114,444.842,373.821,290.886,300.971,331.141,276.636,285.923,328.729,16.265
267.903,270.062,387.189,289.230,349.289,488.530,271.634,286.658,268.594,403.525,421.145,365.027,291.858,298.909,330.286,272.543,282.048,326.143,15.524
266.935,264.896,369.850,280.887,339.962,490.854,268.224,282.997,269.692,381.848,419.329,402.688,293.288,302.760,326.432,276.982,283.399,324.766,15.610
265.065,267.059,363.372,290.726,340.234,483.251,271.584,284.724,267.146,393.443,424.798,366.902,284.794,311.673,327.443,269.636,287.557,323.495,15.034
263.100,265.099,384.678,280.024,334.062,503.057,268.211,281.818,263.686,393.443,425.136,361.250,287.317,305.462,327.514,270.639,281.670,323.304,16.244
262.935,266.121,361.383,278.327,328.983,481.559,267.013,295.016,267.457,385.709,427.263,360.312,289.851,320.303,322.265,270.144,286.143,321.811,14.872
265.294,266.572,385.900,283.000,330.038,498.332,266.215,290.100,264.473,383.038,417.943,376.643,285.093,309.144,324.335,272.947,282.714,323.634,15.767
263.581,263.260,362.050,277.375,333.395,480.020,264.581,292.163,266.356,400.392,404.829,382.170,285.698,302.832,322.059,275.136,286.538,321.320,14.951
262.492,266.574,362.983,284.895,330.907,481.287,267.248,293.765,265.983,401.405,425.575,363.955,288.100,304.808,334.168,272.657,287.766,323.210,15.115
263.442,265.319,348.667,283.157,318.619,490.077,271.931,292.401,264.471,385.924,412.434,352.071,281.406,301.312,331.605,272.460,284.835,318.831,14.743
263.311,264.763,353.244,287.173,326.096,483.846,267.056,290.266,265.877,371.848,407.061,347.973,286.904,309.995,330.189,274.975,282.136,318.395,14.132
266.805,265.396,362.978,281.347,324.536,474.980,268.168,303.683,270.101,393.133,410.281,362.330,281.815,312.298,333.616,270.679,289.842,321.882,14.277
265.096,264.722,363.106,277.266,318.639,495.960,263.799,300.439,273.829,384.785,422.057,364.018,285.601,311.538,334.486,278.189,287.527,323.003,15.232
265.662,264.714,348.533,282.843,310.533,473.567,267.888,300.517,271.961,390.861,418.132,349.214,291.993,316.216,342.897,275.020,285.451,320.941,14.082
261.451,265.240,334.433,277.403,318.412,483.142,265.508,309.821,277.255,374.646,414.978,357.643,283.940,314.846,350.065,273.753,293.784,320.960,14.219
265.067,264.739,352.156,283.613,320.412,498.417,263.690,312.871,278.765,387.797,416.882,358.393,285.466,313.649,335.908,270.813,283.498,323.067,15.080
265.635,265.067,344.328,276.444,315.186,491.891,266.099,318.978,278.776,407.677,413.206,359.911,281.740,305.938,336.551,274.263,284.821,322.736,15.083
266.364,265.174,351.206,283.750,317.997,499.081,263.578,312.414,277.361,401.880,406.728,355.527,283.327,322.692,354.811,279.308,297.949,325.832,14.988
268.688,267.005,339.039,281.565,310.986,495.283,262.182,333.154,282.975,389.551,404.461,368.518,281.306,316.601,339.649,283.364,287.810,324.243,14.560
267.907,268.048,332.289,279.528,309.845,504.498,265.498,319.288,283.406,391.095,423.627,366.518,294.292,347.471,366.497,285.790,292.377,329.293,15.300
270.337,265.633,343.694,278.863,313.162,513.462,268.733,336.762,289.255,390.044,420.829,362.339,295.089,343.856,360.908,291.376,288.601,331.350,15.379
270.340,265.830,321.167,282.637,315.794,514.563,265.657,341.335,294.541,400.241,443.833,360.268,291.594,360.760,397.962,297.303,292.648,336.263,16.369
272.184,264.001,338.644,279.113,309.591,494.247,269.244,352.749,298.210,392.418,417.289,355.946,296.886,377.130,405.681,295.977,299.495,336.400,15.066
269.308,262.612,336.606,278.976,305.763,518.332,267.389,353.066,297.454,417.215,429.018,357.857,299.687,379.255,396.849,292.179,295.081,338.626,16.620
271.759,263.313,336.339,274.726,317.100,519.457,265.578,368.589,295.123,412.608,433.048,366.411,298.715,386.817,429.189,298.086,289.542,342.729,17.307
274.270,265.485,337.006,277.746,309.828,564.996,265.416,383.188,304.462,414.304,422.873,377.580,302.078,393.327,436.670,300.010,305.542,349.105,18.859
271.695,264.638,324.428,274.065,315.701,548.377,263.901,382.129,306.227,443.443,431.272,359.464,290.260,397.601,445.773,297.907,303.359,348.249,19.152
278.047,264.809,322.533,273.569,316.567,585.215,265.726,390.339,309.569,459.095,429.285,361.393,304.327,400.841,450.746,297.836,307.004,353.935,20.654
276.391,264.287,335.628,280.452,305.993,600.571,267.587,393.238,319.947,509.190,433.680,389.527,296.559,393.688,452.049,298.667,297.773,359.719,22.394
273.422,263.576,325.267,273.665,309.852,634.235,266.261,410.219,311.423,534.000,427.794,380.268,304.342,406.471,460.092,307.402,301.853,364.126,24.485
275.912,267.730,332.633,278.782,318.038,650.741,268.729,412.915,321.583,561.759,436.184,376.554,309.772,400.736,450.535,311.876,298.769,369.015,25.347
278.411,264.511,325.867,275.944,312.515,681.733,273.571,401.611,320.594,563.975,439.079,376.616,309.302,428.413,476.508,302.020,309.908,372.975,27.116
279.521,266.481,331.878,276.649,312.725,719.939,268.914,417.313,331.532,610.291,433.509,385.438,311.619,408.827,468.800,307.460,315.689,379.211,29.462
284.373,264.423,315.683,276.589,304.890,671.555,267.611,401.016,326.899,649.759,450.890,377.000,310.822,413.053,479.368,311.217,310.875,377.413,29.224
284.506,265.419,315.728,285.085,307.447,641.385,268.083,394.207,321.426,622.905,456.127,369.000,318.214,423.087,492.584,317.096,303.505,375.635,27.458
288.557,265.254,325.017,284.500,313.993,580.672,270.868,383.997,320.913,637.785,458.193,388.429,315.694,417.207,498.373,322.740,312.985,375.599,25.864
290.868,265.615,337.400,282.710,314.189,530.628,270.502,379.373,307.882,677.196,437.557,375.009,311.032,427.212,501.108,324.361,306.092,372.867,26.144
294.657,264.046,334.744,279.770,322.701,518.490,266.805,376.918,297.185,685.576,447.390,369.125,321.637,413.596,510.773,318.437,316.736,372.858,26.409
297.096,265.408,322.094,277.585,328.162,531.198,271.888,378.263,288.350,607.962,445.632,376.348,327.153,429.062,524.649,322.952,327.553,371.844,24.022
300.341,266.360,336.950,274.565,341.787,509.231,271.974,326.984,278.557,480.930,451.013,381.955,329.491,416.019,483.286,330.162,319.538,358.773,18.914
302.390,263.190,328.200,280.613,348.158,526.874,270.231,288.840,268.877,453.696,460.592,390.411,332.463,433.207,522.578,328.515,320.194,359.943,20.744
311.209,266.284,328.400,283.706,365.526,518.522,272.875,281.185,270.059,390.690,450.952,430.268,337.228,446.933,512.319,325.164,321.407,359.572,19.788
314.312,263.257,350.261,290.109,359.048,524.417,275.785,284.370,270.608,415.152,446.895,416.000,344.630,448.529,510.259,326.225,331.212,363.004,19.550
317.006,265.873,348.617,286.093,367.880,561.907,279.380,296.875,284.714,409.177,463.570,444.277,349.402,457.846,534.497,330.098,328.846,372.121,21.455
314.648,263.938,363.956,289.456,377.742,620.960,276.079,295.122,285.891,392.076,481.693,439.429,364.577,450.745,549.816,337.551,335.370,378.767,23.748
323.182,266.345,360.411,289.839,382.003,630.020,283.871,313.934,301.345,396.127,470.013,459.188,355.203,414.702,483.703,332.760,352.934,377.387,21.774
328.767,264.811,384.122,310.645,383.588,662.753,276.561,330.100,303.857,383.139,485.461,483.804,356.299,362.942,454.897,342.722,337.857,379.549,22.873
333.479,266.051,395.022,307.625,401.694,673.470,286.149,344.918,311.451,381.468,507.965,491.071,361.947,338.534,412.946,321.076,344.846,381.160,23.417
335.468,266.520,405.622,296.706,414.515,691.279,285.706,367.834,322.123,379.171,526.566,501.884,372.427,334.880,382.546,289.707,349.604,383.680,24.972
353.721,267.143,409.172,315.153,411.543,711.538,297.142,372.241,324.462,389.766,524.430,536.366,387.989,317.952,354.205,277.576,368.725,389.360,26.209
341.439,266.964,427.706,309.597,419.120,756.915,295.954,392.530,318.868,400.291,564.417,550.616,384.338,325.106,361.411,279.449,350.363,396.770,29.363
349.720,269.614,431.550,310.145,427.388,775.170,307.053,395.157,332.331,423.506,560.895,551.027,397.829,312.288,368.746,278.235,362.022,403.099,29.842
354.489,269.842,417.400,328.871,434.292,806.668,311.974,394.580,335.353,426.785,588.667,600.491,389.822,316.865,359.389,273.086,377.886,410.968,32.359
358.751,269.361,426.456,322.173,418.918,811.810,325.554,410.981,322.560,451.620,605.044,594.750,395.406,318.615,363.427,271.801,377.520,414.397,32.813
359.561,273.725,438.183,325.327,436.876,806.603,327.719,402.571,337.675,475.114,613.175,608.571,414.861,315.380,375.827,278.323,377.150,421.567,32.772
373.767,272.497,463.056,325.129,443.993,851.862,316.119,403.348,344.868,545.563,623.294,594.161,424.370,322.394,370.292,278.515,378.839,431.298,35.173
371.446,275.296,442.100,341.952,444.244,843.097,333.416,422.361,340.412,536.842,631.000,592.750,409.295,313.144,379.135,282.513,393.062,432.474,34.376
