0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
265.008,297.937,329.637,439.536,320.720,393.481,450.242,285.162,347.715,23.493
265.182,281.215,323.426,430.114,328.964,376.906,446.252,278.996,341.382,23.024
282.768,291.351,319.869,443.473,311.409,391.325,447.536,273.394,345.141,23.715
270.318,288.288,325.731,438.355,319.671,374.812,458.434,287.849,345.432,23.566
268.271,276.497,326.265,449.164,315.396,393.394,440.733,278.415,343.517,24.552
269.479,286.248,331.314,466.536,324.631,380.688,446.135,293.271,349.788,24.534
279.432,279.566,319.531,450.732,305.200,378.381,442.965,274.496,341.288,24.227
274.938,291.487,317.127,477.395,307.800,404.450,439.988,272.373,348.195,26.579
276.021,286.401,326.570,465.545,309.916,370.106,426.127,275.391,342.010,23.809
266.195,284.397,326.991,458.564,307.858,382.456,431.347,273.014,341.353,24.501
275.003,284.560,319.495,435.200,318.773,370.156,436.998,277.102,339.661,22.187
278.404,285.834,317.563,460.632,327.236,370.819,425.068,277.169,342.841,23.054
267.315,286.474,318.985,445.773,317.347,387.656,439.519,283.810,343.360,23.563
273.924,283.099,339.037,463.055,312.533,400.600,441.985,272.352,348.323,25.494
268.375,289.818,315.127,429.632,310.213,371.875,439.247,271.320,336.951,22.603
257.211,297.659,336.284,465.659,321.093,399.750,432.249,271.553,347.682,25.342
272.193,294.520,333.243,456.450,322.342,399.044,437.255,260.873,346.990,24.812
279.065,294.570,307.112,469.264,308.076,392.144,430.107,280.887,345.153,24.593
271.177,300.377,331.424,445.727,307.849,380.663,433.886,277.648,343.594,22.654
279.591,278.364,308.490,455.968,318.004,377.100,414.591,284.923,339.629,22.481
273.042,290.603,328.740,451.700,317.364,414.887,442.270,270.947,348.694,25.084
260.547,285.427,312.585,438.468,320.880,373.150,433.249,276.366,337.584,23.015
274.706,294.725,327.004,434.641,326.578,366.494,429.067,275.792,341.126,21.053
261.229,291.507,313.654,449.473,331.311,355.925,424.351,276.349,337.975,22.603
274.354,293.689,314.585,464.973,313.156,377.769,442.930,279.451,345.113,24.659
263.370,281.576,333.819,436.945,323.124,376.438,437.840,283.880,342.124,22.714
274.568,289.225,335.931,467.205,327.453,381.738,428.513,280.504,348.142,23.651
262.060,293.586,308.275,467.786,304.547,373.544,423.793,277.106,338.837,24.658
263.432,294.179,323.163,468.750,317.138,380.262,441.124,273.011,345.132,25.455
273.883,291.377,317.032,444.973,314.542,382.456,427.596,274.197,340.757,22.615
264.966,288.265,321.669,459.377,322.231,403.719,430.955,267.852,344.879,25.173
272.250,287.116,331.136,452.645,320.382,386.050,428.239,277.444,344.408,23.118
270.682,291.265,319.761,460.309,314.227,400.019,433.776,277.387,345.928,24.611
265.573,281.053,328.568,415.186,307.276,358.587,442.950,271.342,333.817,22.087
260.323,289.960,312.107,443.868,321.916,382.925,438.366,267.680,339.643,24.204
273.740,284.010,327.350,455.773,319.302,372.738,441.770,266.658,342.667,24.453
