0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
734.778,382.408,440.485,424.947,397.394,451.589,337.507,338.195,454.433,407.663,429.425,352.283,394.909,351.631,421.260,25.479
719.085,375.023,432.432,424.119,392.658,457.053,345.642,326.474,438.994,395.876,454.613,343.289,401.269,347.374,418.136,24.913
673.514,382.698,433.444,436.869,396.576,446.971,347.030,333.989,441.163,399.865,407.860,340.310,370.457,344.283,411.073,21.963
634.764,366.775,448.009,437.324,403.234,441.287,348.470,347.270,453.966,390.840,413.602,337.839,375.274,342.455,410.079,19.771
617.068,360.057,440.180,451.730,418.403,454.512,343.299,342.080,438.371,404.641,408.763,352.384,376.215,339.163,410.490,18.824
593.548,398.935,442.829,441.713,401.199,458.469,566.881,328.043,440.382,392.024,399.075,343.127,396.565,344.266,424.790,19.811
606.668,397.191,434.294,913.480,392.900,425.072,900.381,356.874,450.084,409.320,423.505,354.641,384.500,328.641,484.111,49.071
648.591,426.160,451.926,1238.332,516.983,440.952,958.709,358.486,411.938,408.780,536.844,356.475,409.892,345.264,536.381,66.269
682.136,547.332,450.845,1189.201,728.550,498.861,977.299,442.511,476.382,412.323,927.441,370.967,452.134,344.769,607.197,66.597
670.429,800.523,449.793,1175.975,1010.861,1161.167,968.552,619.388,508.449,675.892,1036.790,368.181,1231.763,342.239,787.143,79.966
739.366,1031.000,453.478,1098.348,1187.784,1811.182,987.716,967.184,710.803,1363.937,1325.629,375.454,1376.747,336.457,983.220,109.782
775.179,1016.656,528.398,1024.541,1266.216,1756.191,1078.045,981.391,1071.629,1297.016,1451.484,414.915,1390.812,336.839,1027.808,104.593
879.591,962.832,838.710,992.037,1230.558,1777.172,1072.291,948.193,1398.112,1255.983,1434.575,681.780,1325.898,351.158,1082.064,91.865
917.548,819.931,1184.688,912.102,1140.727,1653.478,1006.119,935.147,1506.264,1157.274,1370.317,1008.522,1258.172,355.608,1087.564,82.218
1107.185,728.065,1462.067,1008.549,1109.749,1635.254,1033.627,935.330,1561.528,1100.805,1316.151,1105.491,1224.403,346.845,1119.646,85.507
1208.241,614.882,1507.406,982.016,1043.264,1621.512,1028.097,882.871,1676.489,985.121,1244.656,1130.591,1253.167,408.336,1113.332,90.948
1186.491,530.282,1434.296,949.004,1023.810,1597.005,970.828,837.578,1744.910,884.991,1217.452,1134.803,1192.613,622.665,1094.766,88.010
1175.205,455.053,1393.671,924.434,934.000,1617.904,913.597,832.603,1742.275,760.656,1076.323,1175.279,1128.672,773.889,1064.540,89.333
1110.773,438.756,1304.570,931.803,919.866,1630.608,855.321,856.106,1871.287,669.744,1038.199,1175.071,1169.409,872.756,1060.305,94.887
1022.119,410.885,1220.489,940.557,775.355,1593.100,812.963,809.003,1775.270,562.768,929.774,1151.746,1168.220,932.120,1007.455,93.833
996.759,438.393,1061.245,1007.619,700.788,1604.000,861.791,813.466,1848.713,519.914,986.968,1241.212,1151.780,859.560,1006.586,97.906
973.420,428.485,956.183,1105.762,658.481,1634.144,773.828,778.284,1888.820,474.503,1012.355,1208.896,1182.118,865.927,995.801,104.010
896.716,436.340,798.986,1116.504,638.035,1623.799,796.119,750.029,1817.596,433.576,961.640,1146.119,1183.823,803.389,957.334,102.660
860.909,665.958,684.947,1165.373,557.013,1557.612,813.664,769.868,1772.517,437.349,1069.070,1183.748,1277.376,751.664,969.076,99.219
803.744,1085.477,591.769,1158.098,492.978,1499.727,823.269,690.770,1667.483,428.079,1193.199,1168.195,1266.758,653.437,965.927,98.052
805.699,1230.916,549.606,1132.656,478.874,1334.000,772.381,623.190,1657.921,425.256,1223.188,1135.320,1358.554,569.937,949.821,100.966
778.318,1261.206,525.334,1034.770,467.273,1148.885,808.396,605.805,1509.882,417.254,1217.161,1095.732,1460.312,500.639,916.498,97.454
738.960,1172.160,510.876,904.090,469.359,1035.871,810.955,557.710,1399.118,422.977,1187.946,1056.406,1428.258,435.534,866.444,91.571
697.457,1150.866,502.565,775.107,450.931,875.818,776.075,505.644,1307.208,417.382,1096.586,990.777,1443.946,403.388,813.839,88.492
691.011,1031.221,483.326,622.639,448.351,794.282,804.522,489.557,1315.854,419.797,1052.323,936.749,1459.715,381.791,780.796,87.923
659.625,883.828,514.950,537.553,436.554,702.789,803.619,474.733,1200.983,413.780,1070.946,837.978,1415.984,362.859,736.870,82.182
662.202,764.878,581.114,472.770,444.727,658.957,779.052,463.313,1120.539,419.121,1396.710,838.533,1362.554,353.465,736.995,87.504
683.616,615.168,720.555,489.959,435.208,601.234,753.179,457.511,1081.202,414.622,1579.742,728.440,1323.790,345.365,730.685,93.041
673.034,594.450,1083.216,466.852,422.009,639.641,757.709,511.333,905.685,422.050,1580.548,643.051,1241.118,357.637,735.595,91.009
677.176,535.740,1489.116,611.885,498.143,709.077,782.672,562.862,792.376,433.118,1447.263,554.958,1187.887,356.052,759.880,92.851
733.784,492.164,1559.899,931.008,809.736,983.933,774.015,670.374,724.652,555.679,1382.645,486.175,1083.043,342.158,823.519,88.366
760.281,514.901,1511.892,1183.492,1214.446,1493.651,775.373,868.006,633.011,947.222,1271.833,437.509,973.048,345.778,923.603,96.384
818.642,518.038,1401.502,1264.725,1414.654,1820.148,755.112,1012.871,607.635,1350.297,1150.629,415.707,904.301,347.464,984.409,112.338
852.256,569.130,1314.929,1287.934,1601.697,1866.378,759.507,1082.382,599.781,1428.120,980.527,415.142,817.484,348.231,994.536,117.596
968.344,553.924,1188.802,1224.447,1671.823,1760.115,730.582,1124.273,580.646,1396.441,893.532,395.680,737.323,346.419,969.453,115.083
1062.991,599.443,1054.193,1108.693,1630.840,1664.679,756.545,1091.730,579.921,1334.016,783.962,397.426,675.737,352.005,935.156,107.157
1133.693,609.000,917.201,972.053,1625.961,1596.344,758.582,1071.784,604.989,1237.762,733.565,395.241,646.806,340.642,903.116,102.685
1196.889,644.725,795.645,810.008,1585.896,1442.321,747.381,1009.888,627.798,1101.066,711.043,394.954,590.930,345.700,857.446,94.625
1165.361,647.855,689.984,640.939,1550.342,1388.766,794.701,953.014,650.725,943.457,701.177,388.354,611.285,350.942,819.779,89.813
1084.486,630.492,610.688,532.832,1440.541,1193.201,816.231,838.730,645.281,773.630,686.414,385.435,561.833,346.854,753.332,79.041
1040.119,635.111,579.290,517.561,1346.740,1105.679,815.970,777.460,674.921,634.173,639.032,377.342,563.409,352.749,718.540,72.042
976.895,624.321,574.016,507.873,1197.446,956.029,764.918,649.233,664.657,548.272,663.715,376.198,614.059,390.178,679.129,59.018
