0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
434.835,891.492,672.502,402.164,648.723,671.057,493.888,643.109,1079.590,780.519,898.624,691.506,545.763,894.634,696.315,50.366
446.855,866.080,674.018,403.082,650.446,675.158,485.231,648.644,1124.331,795.035,893.382,676.005,543.860,885.841,697.712,51.421
479.375,870.179,668.597,392.848,640.597,668.105,475.127,663.187,1064.663,782.380,900.919,665.412,563.672,900.979,695.432,48.940
525.969,863.053,658.016,371.721,643.589,643.866,490.754,659.224,1160.331,767.938,896.839,682.036,543.075,896.844,700.233,52.350
522.449,882.794,668.150,394.107,637.351,638.813,465.493,657.989,1096.000,781.197,892.941,678.856,526.656,873.025,693.987,49.719
545.111,893.279,671.535,380.852,682.199,652.167,451.769,668.190,1102.292,785.537,879.161,689.348,531.070,902.506,702.501,50.511
595.241,877.523,670.016,372.877,640.000,641.507,460.746,652.155,1123.157,789.964,921.366,689.259,541.876,888.748,704.603,51.188
611.906,860.626,675.703,384.037,654.234,658.301,426.522,653.397,1112.292,780.512,863.903,678.994,548.667,903.511,700.900,49.634
614.787,840.237,673.689,356.463,641.667,649.895,425.873,638.816,1145.657,787.784,917.355,674.963,520.075,912.166,699.959,53.548
631.190,815.962,674.019,360.020,656.364,617.478,404.858,659.721,1133.938,737.124,860.425,685.704,546.097,887.986,690.778,50.777
637.787,810.912,676.785,377.939,610.190,614.258,400.828,638.632,1067.635,731.072,881.548,695.924,514.516,895.657,682.406,48.790
603.009,801.859,665.186,371.139,627.160,612.072,374.284,651.250,1080.556,720.196,839.914,678.960,504.027,885.303,672.494,49.386
599.165,771.229,636.465,384.385,629.294,576.445,373.060,642.552,1053.742,720.859,817.043,663.960,520.667,889.261,662.723,47.296
530.162,799.954,615.856,388.016,621.351,593.584,338.112,642.638,1002.236,732.378,788.441,658.762,518.048,901.387,652.209,47.306
459.648,801.355,604.207,392.598,615.502,580.746,341.478,627.443,1026.388,714.506,817.500,640.228,530.414,906.397,647.029,49.645
386.938,822.015,589.620,381.246,614.294,564.660,333.940,639.925,965.994,715.804,807.618,636.927,519.796,868.127,631.922,49.092
361.514,808.714,583.303,390.746,605.753,548.646,331.455,616.101,942.719,740.202,803.882,622.745,506.312,873.849,623.996,49.201
354.489,855.981,583.306,373.984,675.926,538.550,309.269,622.695,912.551,741.414,813.806,619.121,499.468,857.407,625.569,50.645
352.162,807.859,584.176,371.352,648.329,554.483,322.231,617.914,847.449,758.579,768.839,603.248,525.489,849.493,615.114,46.210
355.776,826.408,590.441,363.074,651.082,549.459,327.485,618.601,749.315,717.788,762.167,587.197,510.102,826.459,602.525,43.379
350.702,822.740,589.020,368.520,600.455,529.349,307.112,598.422,726.022,737.611,775.274,562.034,487.903,833.402,592.041,44.572
355.602,836.435,594.777,364.545,619.723,499.287,306.851,630.491,631.163,746.140,716.898,549.396,468.473,829.592,582.098,43.599
364.554,790.744,598.502,345.922,623.771,514.038,315.522,622.106,572.494,737.372,705.285,540.577,498.860,827.825,575.541,41.265
375.830,701.420,604.758,341.963,619.074,503.560,317.269,621.509,570.522,745.173,518.296,535.653,460.011,815.554,552.185,38.067
392.122,634.046,611.498,340.086,603.199,502.718,307.328,618.290,548.758,746.484,444.651,522.594,445.398,830.926,539.150,38.274
413.898,581.340,605.772,343.754,632.541,494.651,285.463,602.075,535.876,739.709,403.957,503.949,437.280,838.938,529.943,38.987
433.801,540.046,611.192,356.418,646.584,513.799,304.261,609.241,526.640,766.595,390.973,502.193,417.532,832.581,532.276,38.953
456.651,537.981,621.935,348.930,618.411,525.407,301.119,616.583,543.646,744.906,368.860,499.680,411.199,857.739,532.361,39.712
503.122,537.027,620.535,359.967,630.333,535.000,288.007,583.003,505.708,744.566,381.720,496.494,396.796,864.423,531.907,39.680
507.722,566.015,614.468,364.213,641.126,554.220,293.948,609.753,552.292,756.978,388.672,496.960,393.258,841.870,541.535,39.032
555.511,584.489,603.959,365.328,599.597,550.718,296.366,635.152,561.343,740.795,393.371,499.872,373.656,852.081,543.731,38.970
561.787,597.553,582.904,368.070,643.784,573.584,295.060,620.707,591.096,753.709,387.237,515.848,365.435,839.866,549.760,39.438
592.747,636.908,560.539,350.467,617.892,566.708,311.037,619.638,654.843,759.758,408.876,520.108,388.919,858.925,560.526,39.884
602.017,664.561,479.271,363.484,641.753,580.789,288.806,598.310,675.326,767.836,410.204,549.895,388.672,851.299,561.587,41.229
621.795,698.698,400.918,351.385,613.377,578.297,298.500,607.353,705.337,743.301,457.672,564.554,409.903,847.459,564.182,41.393
618.847,678.836,363.994,334.676,596.476,494.809,288.090,580.083,785.208,715.767,483.570,578.878,421.608,864.939,557.556,44.027
618.048,679.733,347.271,309.922,604.052,420.215,304.575,536.830,764.539,663.452,506.387,580.466,439.247,848.155,544.492,43.026
615.866,731.527,345.704,302.152,553.139,376.627,298.022,497.583,826.596,608.723,560.909,577.633,437.091,848.808,541.456,46.215
572.787,696.775,360.546,305.311,522.615,362.847,297.209,466.509,867.140,588.009,593.312,589.514,424.156,849.876,535.472,46.988
