0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
691.120,725.957,373.906,403.125,327.584,386.637,486.515,484.978,56.070
691.419,722.949,371.944,393.825,331.888,381.006,509.248,486.040,56.272
675.694,714.471,385.069,421.262,346.472,383.225,422.624,478.402,52.723
669.305,727.464,384.275,372.738,352.056,387.344,423.099,473.754,54.523
678.346,731.109,404.350,376.113,332.135,382.706,467.614,481.768,55.397
693.919,708.790,382.812,399.250,362.034,387.681,484.921,488.487,52.689
675.143,761.877,367.550,385.525,332.899,397.106,473.554,484.808,58.466
693.729,747.225,364.381,396.700,341.944,395.938,500.832,491.535,57.680
680.197,759.080,371.913,420.450,345.607,395.219,487.099,494.223,56.619
685.153,716.014,371.856,396.863,332.685,384.994,466.000,479.081,54.831
696.893,702.652,371.894,396.688,323.820,391.250,410.297,470.499,55.648
681.798,695.449,367.806,418.137,327.708,392.950,408.545,470.342,53.219
696.714,731.797,373.788,390.075,342.427,368.462,441.653,477.845,57.594
682.942,743.478,370.062,402.475,333.607,393.887,479.149,486.514,56.650
685.265,710.275,373.113,412.475,357.764,376.988,479.277,485.022,52.784
672.590,725.051,384.238,402.300,320.652,383.906,485.327,482.009,54.768
702.272,756.210,369.150,382.738,320.854,386.306,484.604,486.019,60.831
687.231,763.609,370.075,387.375,325.708,387.900,509.911,490.258,60.015
681.935,743.377,371.981,390.500,331.596,391.875,465.673,482.420,57.103
694.595,734.775,368.700,378.512,328.461,400.606,394.782,471.490,58.845
679.040,677.377,376.644,412.025,339.213,369.931,426.188,468.631,51.071
687.798,751.370,376.819,415.012,330.551,377.738,423.485,480.396,58.498
690.621,708.080,374.150,397.450,351.169,392.606,458.248,481.760,53.278
672.408,714.522,377.387,409.938,314.539,378.275,465.950,476.146,54.450
678.117,740.775,383.719,379.725,336.764,375.794,517.792,487.527,56.962
676.892,731.623,368.794,393.050,335.865,385.506,482.564,482.042,55.639
685.331,766.036,366.637,390.600,338.034,383.194,482.337,487.453,59.584
688.451,715.217,376.794,402.738,339.933,379.575,487.515,484.317,54.404
681.521,729.094,367.681,380.962,331.225,366.475,423.495,468.636,57.569
