0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
1205.431,1224.444,2120.339,1095.419,747.521,1038.229,547.400,550.434,904.929,960.678,614.587,435.296,511.921,510.938,456.328,447.238,455.989,566.640,541.825,901.500,774.283,388.889,522.659,450.760,529.983,477.850,511.500,464.638,576.478,545.350,451.714,526.743,698.845,504.292,606.138,585.309,370.362,424.594,466.159,643.656,465.341,526.606,481.122,604.088,597.632,2409.214,586.081,762.067,683.113,56.161
1146.466,1208.508,2130.860,1067.457,759.713,1002.119,558.509,588.774,858.750,972.478,639.163,438.465,512.236,471.585,505.203,431.714,454.588,533.020,533.425,892.392,780.042,419.506,493.977,445.265,535.617,472.062,443.875,512.333,559.304,496.733,464.625,530.886,645.034,493.179,637.763,599.854,368.793,462.232,465.609,631.708,465.857,544.183,471.486,560.618,617.236,2412.957,523.865,765.222,677.609,55.883
1201.655,1197.529,2145.992,1082.295,781.723,1062.576,609.891,530.962,861.750,1018.313,621.212,404.239,521.191,485.000,436.031,457.048,449.186,550.660,504.225,955.784,749.158,424.778,541.000,434.645,532.083,457.450,428.583,437.841,581.783,545.500,461.571,515.500,698.603,502.774,651.981,577.870,347.155,429.768,484.797,637.104,486.154,513.154,510.901,586.485,625.453,2375.414,491.054,726.044,679.831,56.407
1246.000,1183.904,2131.198,1102.657,707.149,1037.975,563.291,592.660,823.964,992.757,657.800,430.859,545.079,522.169,445.984,457.254,456.763,514.460,504.125,919.770,807.267,431.494,446.500,418.110,590.533,466.625,479.139,490.435,611.435,548.883,472.304,512.471,710.793,467.113,620.550,610.114,347.414,455.043,533.116,684.125,475.571,506.596,473.890,594.397,554.236,2407.857,525.108,697.578,682.802,56.333
1183.241,1147.150,2177.736,1081.190,755.021,1028.373,593.800,529.170,902.946,997.487,642.913,430.394,525.067,493.708,456.797,469.524,450.537,537.620,521.100,975.622,767.208,447.358,472.136,432.545,550.933,448.200,481.875,474.826,595.725,496.650,436.536,487.114,653.121,470.670,631.850,546.634,349.810,427.261,523.000,667.219,469.418,540.442,490.746,591.382,586.236,2333.657,547.459,755.000,678.633,55.812
1151.069,1183.882,2091.397,1118.267,731.553,1044.915,576.836,544.981,826.250,1003.887,625.413,426.930,496.281,510.015,488.422,437.698,461.113,526.140,558.100,934.770,791.808,453.432,433.364,436.460,527.483,482.413,470.986,466.449,613.217,522.800,485.179,498.700,635.517,489.387,617.944,565.463,344.966,482.058,509.812,624.021,458.187,501.538,470.072,613.515,590.651,2399.757,550.622,719.844,676.949,55.570
1245.466,1259.658,2143.992,1110.476,721.021,1019.568,587.418,571.057,882.357,954.791,680.038,408.014,548.989,482.123,471.250,423.952,445.701,566.240,518.950,983.122,765.258,445.704,491.705,430.230,596.200,462.613,497.736,481.348,589.014,535.833,481.571,495.343,627.845,511.755,634.112,580.106,389.414,419.464,491.957,633.083,463.396,526.644,490.934,589.412,569.434,2386.714,552.216,756.178,685.821,56.465
1160.103,1192.444,2152.521,1123.410,771.564,1054.771,514.382,533.528,819.000,967.548,659.987,428.937,544.045,482.462,410.219,478.905,446.819,520.600,496.675,943.824,796.933,439.901,505.659,436.650,581.467,429.175,460.028,427.652,604.377,501.183,507.054,517.614,693.724,471.047,632.100,534.065,372.966,436.464,506.145,639.312,482.571,520.635,493.575,565.971,585.519,2407.957,531.595,737.756,677.517,56.670
1150.534,1221.128,2128.256,1067.686,735.447,1086.534,596.418,545.981,863.768,987.626,601.638,419.134,539.000,487.508,457.094,475.365,469.147,500.680,472.900,998.770,750.542,468.148,533.886,431.750,530.500,479.512,431.861,471.188,551.290,523.067,482.696,494.314,683.569,514.311,647.769,585.667,382.241,447.986,490.130,643.781,456.769,531.635,506.575,559.794,565.708,2476.157,541.297,724.667,681.488,57.194
1154.172,1227.690,2063.983,1139.629,759.000,1024.381,580.455,580.113,818.107,941.026,633.562,437.099,515.146,467.138,415.656,496.635,452.938,515.200,498.800,915.135,797.608,453.457,511.386,439.460,527.283,466.512,445.667,488.507,574.623,530.367,479.286,533.786,678.931,485.906,651.337,613.146,383.052,461.058,513.362,691.771,442.297,533.875,482.260,640.956,623.745,2392.271,564.405,772.356,683.636,55.026
1294.879,1211.219,2088.636,1031.419,751.681,1024.585,607.436,551.792,841.000,992.530,684.075,421.141,520.360,500.154,503.703,453.111,477.994,542.880,553.875,910.595,737.933,392.457,505.114,462.120,564.867,453.938,468.153,445.101,591.029,545.567,490.839,494.657,698.776,483.358,625.200,600.894,364.190,443.203,487.174,648.823,477.769,493.500,503.525,567.221,604.774,2345.914,563.919,745.822,682.685,54.955
1249.897,1149.422,2176.669,1045.000,695.851,1037.958,593.400,566.962,818.179,941.435,627.362,413.451,527.944,464.554,499.641,463.333,459.412,519.860,558.825,942.284,759.258,475.617,527.727,457.910,553.483,461.400,447.500,474.217,577.928,594.583,480.286,508.586,699.345,507.679,609.494,594.089,380.121,432.420,524.507,638.344,497.330,516.423,471.961,597.265,635.189,2485.786,534.297,750.978,686.358,57.130
