0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
273.993,384.340,530.346,434.509,834.091,769.750,537.838,82.573
277.549,377.372,524.307,441.964,881.788,839.912,557.149,92.824
274.169,362.607,490.252,401.904,852.707,808.206,531.641,90.213
277.617,361.251,521.315,419.545,849.859,797.779,537.894,87.890
273.989,366.300,533.614,425.910,844.121,773.485,536.237,85.132
275.812,361.020,507.976,446.365,879.606,851.382,553.694,94.691
278.346,366.385,532.394,428.593,909.768,820.324,555.968,94.993
278.914,364.862,503.031,410.186,931.283,787.368,545.941,95.908
278.798,379.688,512.512,411.180,949.646,807.691,556.586,98.474
280.061,356.846,519.622,433.431,915.758,793.235,549.825,93.931
279.837,358.433,492.969,400.341,880.919,789.471,533.662,91.377
275.661,361.020,481.126,422.054,923.606,725.809,531.546,91.369
279.447,359.822,510.354,430.677,910.283,820.853,551.906,95.499
279.816,358.757,486.874,433.725,952.101,787.544,549.803,97.922
274.115,353.490,491.850,418.275,899.232,715.162,525.354,88.358
277.608,367.789,508.567,430.222,946.626,773.500,550.719,95.848
281.426,357.583,483.921,416.928,953.616,755.235,541.452,96.583
278.444,350.453,513.898,425.467,991.758,759.824,553.307,101.309
276.950,368.781,494.118,429.844,957.808,780.912,551.402,97.834
280.755,347.919,488.339,433.617,967.202,764.426,547.043,98.694
280.880,355.988,495.457,394.964,966.818,738.662,538.795,97.987
282.445,363.105,488.646,417.311,1007.970,716.515,545.999,100.727
282.637,355.510,505.496,415.132,961.495,749.647,544.986,96.970
286.079,379.769,503.283,435.952,1013.424,771.015,564.920,102.211
284.123,350.530,504.465,451.120,998.747,790.735,563.287,102.821
282.795,354.417,516.331,438.156,983.717,780.412,559.305,100.551
286.476,361.676,543.102,433.641,978.747,717.162,553.467,95.771
284.921,365.194,522.654,443.545,1050.081,745.515,568.652,105.767
284.573,357.822,479.472,430.162,987.828,756.956,549.469,100.172
285.563,369.794,498.551,433.048,983.061,717.338,547.892,96.356
287.258,343.903,474.732,431.407,948.626,793.544,546.578,98.515
284.944,360.377,493.181,405.192,964.616,746.765,542.512,97.282
286.482,360.713,472.134,427.689,938.192,816.206,550.236,98.298
283.600,356.441,493.063,428.497,1022.232,755.691,556.587,104.282
294.338,372.016,506.118,418.359,1015.293,805.353,568.580,104.871
289.433,356.587,548.827,418.210,1081.020,747.353,573.572,110.588
292.837,361.745,473.535,434.150,1038.172,732.044,555.414,104.365
289.538,359.579,465.244,426.401,1074.040,740.868,559.278,110.188
291.061,351.668,505.748,415.665,997.323,762.191,553.943,101.574
291.454,345.243,504.299,437.934,1053.303,757.279,564.919,107.802
292.518,349.810,501.323,412.401,1039.283,761.221,559.426,106.869
294.073,357.737,476.984,439.719,1098.505,754.632,570.275,113.066
295.044,356.146,509.126,444.982,1133.364,727.206,577.645,115.760
294.732,353.907,486.543,418.737,1108.636,795.412,576.328,117.025
292.486,357.211,468.417,423.946,1078.990,757.912,563.160,111.560
294.074,356.514,501.362,424.958,1114.343,714.559,567.635,113.607
297.090,361.474,493.701,416.479,1061.576,733.338,560.610,107.387
290.516,353.287,499.535,425.898,1099.929,769.176,573.057,114.412
295.110,352.130,509.669,438.018,1097.869,705.794,566.432,110.692
295.968,347.308,509.433,423.826,1104.475,745.956,571.161,113.815
296.879,346.866,480.433,426.323,1059.364,710.588,553.409,106.802
293.434,344.186,491.370,400.293,1061.697,717.265,551.374,108.504
294.712,359.150,498.858,435.647,1072.990,718.324,563.280,107.765
293.959,339.749,503.409,405.994,1115.697,705.000,560.635,114.992
298.280,355.789,498.000,429.653,1110.525,732.926,570.862,113.445
298.994,370.158,489.535,432.347,1084.646,772.147,574.638,111.105
298.427,346.672,496.417,423.521,1058.061,762.985,564.347,108.750
300.570,369.599,501.024,431.533,1086.222,668.574,559.587,107.009
300.679,363.028,485.732,432.263,1043.535,749.985,562.537,105.111
298.664,371.672,502.472,420.545,1065.586,771.206,571.691,108.772
295.570,364.599,507.780,440.072,1061.192,738.618,567.972,106.449
300.261,350.826,496.976,448.713,1116.283,768.676,580.289,115.242
303.838,348.494,519.583,452.012,1110.051,794.029,588.001,115.020
299.686,358.879,502.614,424.120,1114.323,742.250,573.645,114.181
304.948,359.587,511.622,430.347,1102.394,748.176,576.179,112.101
304.112,345.761,525.811,447.024,1076.303,766.221,577.539,109.615
301.593,359.842,495.157,419.341,1128.889,745.794,575.103,116.382
302.618,360.611,494.528,426.754,1023.808,814.015,570.389,106.332
302.839,347.696,530.906,418.066,1188.374,795.721,597.267,126.302
304.476,349.591,487.134,426.006,1241.758,796.794,600.960,133.711
303.243,349.275,515.402,464.132,1162.869,780.603,595.921,120.863
307.283,344.583,525.000,446.251,1197.263,753.824,595.701,124.773
309.266,354.101,513.906,421.287,1223.182,786.147,601.315,129.887
308.131,344.255,516.551,426.228,1186.313,793.103,595.763,125.687
302.675,358.802,497.709,431.401,1239.788,769.912,600.048,131.621
313.680,354.182,556.976,434.000,1260.677,825.441,624.160,134.951
306.592,357.903,536.827,432.503,1248.192,748.103,605.020,131.094
314.227,365.251,515.961,434.605,1272.455,753.500,609.333,134.001
310.498,362.198,532.654,457.539,1344.970,905.103,652.160,148.785
313.876,358.579,530.425,435.323,1302.747,793.779,622.455,139.492
310.595,356.579,538.031,475.162,1281.485,835.206,632.843,137.002
308.184,357.393,557.906,457.551,1345.970,889.809,652.802,148.119
311.852,350.016,560.772,464.820,1333.970,791.529,635.493,142.709
317.691,350.364,556.543,446.659,1365.566,839.971,646.132,148.915
314.388,366.130,572.402,476.210,1399.424,811.221,656.629,150.629
310.318,367.182,589.220,481.713,1397.152,836.397,663.664,150.853
312.999,366.996,573.559,485.060,1404.960,880.559,670.689,153.411
313.354,355.632,593.354,510.653,1427.263,864.162,677.403,155.287
313.723,360.093,630.622,489.928,1475.091,894.426,693.981,162.621
313.914,361.126,623.331,498.689,1358.545,851.824,667.905,145.378
313.183,367.433,646.835,506.784,1453.566,918.824,701.104,159.524
316.651,352.866,636.646,511.629,1439.131,916.044,695.495,158.098
316.953,356.077,633.031,487.174,1509.152,867.941,695.055,166.464
320.014,344.486,636.480,507.569,1444.182,860.221,685.492,157.238
325.174,356.445,673.724,535.587,1508.444,887.912,714.548,164.475
