0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
621.831,1070.574,1801.672,959.484,1572.673,1205.247,190.749
613.933,1134.300,1804.701,975.206,1620.772,1229.782,193.556
598.208,1090.202,1777.102,996.592,1625.586,1217.538,192.688
646.562,1168.076,1731.544,1024.282,1666.321,1247.357,181.876
634.494,1109.202,1783.664,989.533,1638.099,1230.998,189.750
624.607,1112.215,1842.318,1017.470,1516.438,1222.610,187.856
634.494,1134.220,1741.904,991.502,1469.463,1194.316,171.313
683.225,1127.637,1784.177,1046.115,1545.198,1237.270,173.142
642.517,1135.117,1703.510,941.310,1521.265,1188.744,171.816
664.961,1072.924,1647.833,944.948,1377.019,1141.537,152.613
641.112,1103.475,1739.495,1027.463,1459.117,1194.133,168.460
637.747,1032.767,1687.917,959.794,1468.753,1157.396,167.691
645.180,1060.655,1678.906,990.073,1377.265,1150.416,157.454
617.185,1057.673,1662.185,983.599,1391.383,1142.405,160.052
586.562,1011.480,1652.664,943.547,1387.481,1116.347,165.249
629.045,1053.897,1647.495,1009.160,1302.321,1128.384,150.842
645.230,1008.453,1649.357,994.094,1321.938,1123.814,151.608
655.281,1017.749,1664.865,992.645,1342.346,1134.577,153.348
615.360,1050.623,1665.068,1018.592,1270.463,1124.021,153.547
664.758,1018.184,1606.859,1022.237,1288.346,1120.077,140.363
639.039,1018.807,1601.482,985.878,1283.969,1105.835,143.841
633.124,983.825,1553.714,1010.352,1204.957,1077.194,134.726
616.545,976.413,1471.448,983.136,1196.537,1048.816,125.993
663.022,1012.704,1577.375,1025.230,1299.599,1115.586,137.211
631.292,1013.726,1504.419,999.756,1220.414,1073.922,128.348
642.433,983.587,1506.992,983.028,1271.000,1077.408,130.986
627.073,1040.601,1531.682,1014.864,1306.543,1104.153,136.141
611.247,1056.368,1530.224,1036.923,1257.778,1098.508,134.868
614.410,1029.202,1479.807,1035.056,1340.586,1099.812,133.740
620.719,962.937,1428.859,998.916,1195.796,1041.446,119.816
652.669,996.000,1503.727,1002.902,1187.204,1068.500,124.256
569.860,932.583,1471.135,942.676,1177.019,1018.654,133.329
607.652,946.390,1473.776,1013.460,1213.951,1051.046,128.717
635.691,965.614,1508.323,1006.300,1274.148,1078.015,132.221
593.096,909.309,1434.044,926.596,1104.142,993.437,122.997
596.517,874.852,1496.909,1039.282,1230.685,1047.649,136.936
645.478,922.888,1508.312,1015.101,1275.772,1073.510,132.555
636.663,938.623,1457.089,976.108,1231.272,1047.951,124.462
601.669,905.583,1386.932,954.951,1224.000,1014.627,121.398
662.865,924.888,1511.154,992.010,1314.642,1081.112,133.678
635.090,871.789,1482.146,1002.512,1234.358,1045.179,130.658
616.612,903.247,1397.562,1016.031,1269.068,1040.504,123.102
622.607,886.094,1470.026,983.338,1273.241,1047.061,132.693
595.551,879.928,1477.203,1030.324,1227.617,1042.125,134.101
604.921,883.682,1418.250,965.627,1242.500,1022.996,126.790
610.112,850.350,1473.977,1042.495,1253.019,1045.990,134.805
629.697,879.785,1453.583,1026.160,1276.543,1053.154,129.669
676.528,890.126,1416.802,1005.429,1241.191,1046.015,116.283
578.848,883.767,1406.688,982.296,1234.525,1017.225,128.079
