0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
267.611,312.987,287.444,701.113,325.352,339.363,361.006,302.346,257.896,350.569,42.593
267.423,309.272,273.222,717.278,338.952,348.118,373.485,294.565,261.075,353.710,44.555
275.946,322.477,275.222,748.821,329.310,339.263,366.632,313.037,263.821,359.392,47.103
278.564,323.085,279.000,792.450,333.657,349.874,351.245,302.238,256.038,362.906,51.701
287.034,319.915,271.068,824.987,347.043,347.922,372.202,313.463,267.953,372.398,54.520
270.181,318.821,271.821,833.987,338.681,363.108,390.681,323.523,254.425,373.914,56.036
270.503,317.111,276.160,881.649,324.405,364.723,403.374,323.322,255.425,379.630,60.957
281.034,315.936,282.333,903.550,329.281,363.403,391.595,319.159,250.566,381.873,62.947
275.819,316.757,272.142,933.974,326.600,365.530,416.853,333.645,262.906,389.358,66.003
275.081,313.417,283.790,999.603,346.281,364.417,425.018,341.808,258.821,400.915,72.369
275.483,321.268,276.889,1024.225,327.805,373.863,421.920,347.533,259.925,403.212,74.963
285.430,315.728,275.346,1021.669,340.162,378.231,419.822,347.402,251.038,403.870,74.660
280.047,313.668,291.802,1057.742,340.148,385.328,400.920,354.009,266.113,409.975,77.708
279.664,319.579,279.630,1065.265,345.171,387.368,429.098,360.056,266.019,414.650,78.539
273.872,318.872,303.130,1147.728,341.990,386.755,421.515,350.079,262.349,422.921,86.900
279.007,314.898,293.981,1123.470,336.452,416.199,438.172,351.117,264.142,424.160,84.465
285.839,321.711,292.265,1118.609,357.581,407.414,475.031,351.893,260.594,430.104,83.758
282.201,330.668,293.636,1191.550,341.024,425.368,451.975,367.528,258.226,438.020,91.051
275.107,313.928,295.253,1240.113,352.886,447.785,469.613,364.883,261.783,446.817,96.208
289.497,327.098,300.864,1228.364,369.371,446.925,490.325,361.519,270.358,453.813,94.088
287.389,320.285,312.438,1273.437,376.895,454.782,474.773,366.752,265.972,459.192,98.523
300.537,320.889,320.815,1272.901,378.862,467.460,504.417,392.565,264.142,469.176,97.861
308.174,324.034,332.272,1380.636,373.133,465.024,515.472,381.911,265.472,482.903,108.599
304.228,335.557,335.000,1302.550,376.410,466.747,516.362,373.285,259.019,474.351,100.710
299.772,345.855,329.469,1287.828,375.114,505.952,550.325,384.379,265.311,482.667,99.226
310.188,353.630,344.179,1299.106,370.914,502.745,533.325,378.117,261.255,483.718,99.849
313.490,339.979,349.414,1383.285,384.962,517.737,547.031,380.397,271.632,498.658,108.039
309.705,352.234,358.123,1315.132,370.381,522.632,561.436,389.449,265.274,493.818,101.268
321.047,342.706,364.148,1384.219,382.133,536.430,572.442,394.421,266.962,507.168,107.871
340.651,356.630,377.123,1395.325,382.938,522.132,578.405,389.201,281.226,513.737,107.808
350.510,344.094,389.636,1415.106,390.176,545.785,564.497,393.009,269.660,518.053,109.778
338.893,375.077,380.481,1393.907,400.067,568.422,599.546,409.958,275.821,526.908,107.229
357.208,375.094,400.914,1400.185,403.290,550.368,593.840,405.547,268.943,528.377,107.261
369.128,378.034,413.241,1425.245,406.995,576.798,603.147,426.696,273.151,541.382,108.992
362.933,370.919,402.957,1445.377,410.890,571.110,621.883,408.061,273.264,540.822,111.738
391.081,381.106,414.969,1432.954,443.133,606.659,636.405,399.570,266.915,552.532,109.794
371.671,406.596,417.716,1438.576,417.071,577.608,621.577,408.220,278.349,548.598,109.818
409.745,403.672,424.698,1425.609,435.167,600.398,631.110,411.612,266.557,556.508,108.006
423.577,417.494,420.963,1392.053,460.133,610.487,636.834,426.495,275.491,562.614,103.500
406.376,419.468,451.253,1538.219,479.438,629.898,627.859,420.841,275.792,583.238,117.765
