0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
1529.326,570.948,532.717,393.448,506.539,624.896,370.468,464.585,396.035,391.072,492.091,721.037,340.397,747.343,577.207,77.770
1551.372,573.621,529.045,437.857,519.108,593.915,386.929,521.951,394.235,386.181,500.079,703.324,364.647,768.657,587.923,77.779
1537.551,595.832,519.820,390.819,527.802,588.566,365.622,486.927,369.435,362.422,486.479,727.713,366.147,845.486,583.616,79.932
1541.963,540.230,537.619,420.419,516.210,576.623,369.609,499.707,400.129,364.651,483.873,768.426,360.772,811.886,585.151,79.345
1567.326,591.521,532.996,399.981,511.982,617.585,355.231,474.110,393.165,379.783,497.400,747.044,363.853,714.314,581.878,79.916
1498.042,597.016,519.693,384.714,557.784,639.104,362.795,505.012,376.388,392.554,486.939,735.397,367.765,708.971,580.870,75.347
1522.458,560.369,560.361,456.124,535.359,630.151,346.833,453.695,405.482,403.687,472.200,771.787,351.750,823.514,592.412,78.193
1522.236,569.544,530.127,429.752,524.251,573.651,351.013,492.598,391.271,390.458,452.209,709.853,375.412,738.514,575.063,76.518
1546.676,573.566,546.430,416.981,521.749,591.255,357.936,512.756,424.824,406.518,485.309,710.559,345.419,747.000,584.784,77.668
1581.954,573.764,557.320,396.943,530.066,599.236,373.378,492.915,384.376,364.253,476.558,713.169,353.610,810.829,586.312,81.702
1531.694,560.984,537.668,406.667,538.240,593.028,356.455,493.878,423.871,397.711,481.294,760.632,350.566,724.800,582.678,77.285
1519.645,559.744,546.861,409.495,518.880,575.236,366.135,454.049,395.176,399.687,473.058,705.235,350.816,830.343,578.883,77.849
1556.610,595.049,527.930,393.962,530.820,636.462,335.878,513.244,409.729,391.373,491.345,734.007,363.596,775.914,589.709,79.572
1549.551,580.091,548.914,428.000,491.880,577.783,355.878,459.171,387.824,374.494,483.494,703.529,345.051,634.000,565.690,78.105
1507.553,563.311,531.418,410.048,539.575,597.462,381.359,480.378,361.412,415.663,489.918,744.382,329.456,756.429,579.169,76.499
1538.460,558.515,547.943,427.600,519.701,591.358,360.917,494.915,384.365,371.301,458.636,756.485,333.912,723.571,576.263,78.605
1571.985,559.502,550.332,408.448,511.617,589.566,352.987,533.780,385.035,403.506,473.079,743.684,335.588,782.171,585.806,80.835
1483.819,554.816,524.643,393.476,502.814,572.160,350.635,486.488,392.282,363.506,487.636,761.199,358.706,863.686,578.276,77.447
1555.914,556.987,526.152,414.333,520.210,620.358,356.333,503.768,389.694,399.000,495.836,745.875,360.882,765.286,586.474,79.207
1553.947,576.926,513.857,417.905,533.389,590.160,363.359,498.646,355.812,406.386,489.942,771.765,356.044,725.400,582.396,79.268
1533.912,558.485,541.414,422.848,518.569,600.774,362.571,501.805,414.365,387.386,488.976,712.699,348.831,737.657,580.735,77.027
1538.542,569.120,527.131,415.076,528.593,578.943,374.949,487.463,397.494,369.349,485.839,694.206,340.618,752.057,575.670,77.867
1484.454,546.825,496.025,400.476,534.563,567.585,339.423,444.512,381.882,365.410,462.352,657.684,335.338,678.600,549.652,74.872
1415.659,515.971,491.070,394.552,523.102,573.226,353.718,397.305,344.271,354.952,418.464,603.853,341.375,722.829,532.168,71.812
1399.289,491.372,463.816,347.943,514.725,532.434,345.596,441.976,299.729,333.434,392.206,621.441,317.500,564.657,504.723,71.182
1304.280,477.553,446.758,307.962,466.515,492.528,332.026,395.463,325.459,334.578,379.218,581.625,333.875,548.029,480.419,65.114
1272.156,458.851,441.225,305.124,471.042,497.189,312.872,342.683,313.929,313.940,375.873,535.324,314.971,490.771,460.425,63.818
1212.947,460.395,444.594,289.200,457.144,506.811,326.410,361.805,313.906,311.976,359.933,553.713,305.125,482.857,456.201,60.288
1185.969,463.230,416.984,274.743,441.521,481.170,315.423,345.024,313.141,326.193,351.712,540.316,302.515,509.600,447.681,58.941
1114.251,464.417,399.365,272.829,450.150,444.575,317.564,319.415,319.494,336.048,348.112,499.978,310.463,492.543,434.943,53.975
1098.892,442.932,377.713,290.838,460.491,462.189,301.186,339.427,293.047,309.494,345.658,466.669,314.375,473.743,426.904,53.133
1042.663,439.851,388.398,288.867,446.743,493.632,304.474,308.085,292.847,302.241,339.264,425.037,300.449,468.857,417.243,50.074
930.877,452.162,362.090,272.752,473.323,450.538,288.160,333.537,303.459,320.060,352.642,416.493,285.875,370.143,400.865,42.808
906.401,464.958,350.357,260.352,439.204,434.708,285.821,304.427,296.188,304.349,346.945,404.500,272.559,352.143,387.351,42.052
867.665,439.440,358.373,281.752,427.401,453.387,281.795,306.098,302.694,292.072,346.052,400.750,285.934,380.514,387.423,38.965
849.797,438.680,343.775,271.152,435.605,455.358,290.359,299.939,286.071,304.289,349.524,383.426,277.934,355.143,381.504,38.268
762.284,434.770,338.680,271.657,470.251,435.028,290.064,282.890,287.729,269.301,339.855,380.640,288.324,358.514,372.142,33.629
782.639,427.201,334.098,274.343,464.216,426.915,280.981,281.585,293.576,274.843,347.921,364.419,274.515,366.971,371.016,34.727
