0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
325.885,595.352,438.980,330.413,651.472,769.527,506.306,395.404,361.764,435.668,409.919,525.658,271.526,358.462,346.675,984.280,332.378,360.775,294.860,457.648,40.640
355.060,603.527,445.429,331.310,633.528,656.891,448.865,378.947,350.250,456.515,433.094,528.000,284.368,371.029,359.204,1062.760,300.178,364.700,269.837,454.394,41.569
349.765,609.549,455.195,348.355,630.876,606.600,431.730,377.074,337.250,436.109,448.125,547.428,285.868,341.577,359.990,1040.590,299.941,390.750,307.674,452.866,39.836
323.902,608.293,445.754,347.678,539.135,616.036,413.748,353.628,339.086,444.698,428.344,512.166,291.307,372.904,343.220,1020.050,315.957,406.725,248.884,440.606,38.688
332.787,567.201,454.777,343.289,571.798,561.236,395.550,367.064,342.293,449.866,408.163,534.198,276.465,337.346,388.832,991.630,322.124,328.000,272.116,433.933,37.002
334.104,590.853,445.298,327.386,558.191,535.600,364.162,375.479,328.286,451.045,422.294,521.909,282.579,361.442,368.974,1066.445,320.659,349.725,286.093,436.343,39.861
325.016,611.513,433.551,345.304,489.191,466.836,390.261,377.202,341.600,456.010,426.644,535.503,269.982,364.125,391.288,1026.230,294.584,373.775,285.419,431.791,37.560
326.770,627.538,445.734,360.169,485.719,435.000,399.910,362.011,369.471,445.856,413.506,535.337,301.149,340.683,354.901,1021.355,324.259,381.225,269.814,431.600,37.135
362.732,599.125,440.739,347.979,408.888,416.382,388.973,374.277,317.814,444.124,456.719,525.856,297.570,362.981,371.529,995.760,329.719,382.325,283.767,426.698,35.193
341.142,616.348,451.662,345.928,414.393,428.691,357.730,347.606,337.086,457.322,436.712,525.706,266.632,369.433,358.560,1029.770,317.589,352.950,290.233,423.447,37.714
337.180,593.802,440.607,337.367,411.629,440.636,361.180,385.968,387.200,474.708,422.225,519.888,285.211,357.846,366.995,1028.420,312.751,386.825,294.163,428.663,36.673
