0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
521.798,439.636,665.591,550.569,706.697,1033.941,653.038,78.420
511.739,407.555,655.000,565.048,721.101,990.250,641.782,75.564
516.100,404.709,634.323,575.216,706.111,978.632,635.848,73.387
508.637,420.968,627.835,557.784,692.313,1015.676,637.202,77.453
507.627,420.538,583.913,570.431,657.586,945.647,614.290,67.379
510.257,419.887,640.024,554.719,660.556,913.441,616.480,63.340
511.415,438.239,572.929,529.263,688.838,920.794,610.246,64.533
514.076,414.130,617.685,557.623,617.960,924.868,607.723,64.451
501.998,414.547,592.764,543.784,649.869,989.221,615.364,74.493
499.401,422.045,585.008,534.078,621.737,926.529,598.133,65.284
491.718,407.219,616.488,525.880,560.323,898.676,583.384,63.197
498.345,430.854,567.063,499.994,588.081,899.441,580.630,61.821
487.028,396.482,549.000,488.120,586.606,830.191,556.238,55.522
495.913,409.154,557.591,497.491,591.141,844.632,565.987,55.913
495.549,408.381,560.543,498.210,602.152,887.147,575.330,61.993
475.515,419.198,508.457,501.886,584.737,840.515,555.051,55.815
485.021,430.518,542.331,511.766,615.071,846.765,571.912,55.137
487.619,394.870,548.803,503.647,606.000,816.721,559.610,53.704
470.761,396.271,532.378,498.491,617.394,758.529,545.637,47.372
480.908,402.765,512.496,500.473,596.828,772.088,544.260,47.618
483.467,393.243,518.709,507.587,596.404,769.382,544.799,47.696
483.534,388.579,504.606,494.569,635.646,739.618,541.092,46.673
497.783,380.911,525.646,478.341,570.515,752.118,534.219,46.195
489.731,372.474,517.520,475.910,587.152,752.456,532.540,47.793
476.056,393.219,518.409,462.934,590.040,780.382,536.840,50.626
487.472,383.344,545.189,467.234,585.030,757.588,537.643,47.715
478.225,384.935,497.063,449.946,581.990,702.191,515.725,41.616
477.837,375.781,535.685,449.491,555.333,693.029,514.526,40.415
467.605,369.838,520.173,450.240,589.616,741.456,523.155,48.302
466.230,367.494,511.024,431.204,529.384,677.132,497.078,39.349
489.394,394.741,529.150,485.317,575.394,718.588,532.097,40.668
477.518,385.879,535.449,445.078,539.535,720.868,517.388,42.926
483.431,375.069,527.772,465.731,572.899,716.882,523.631,43.086
469.041,376.166,498.354,443.659,537.273,670.500,499.166,37.240
497.377,371.802,534.276,467.701,598.566,691.265,526.831,41.041
486.965,378.838,554.031,439.689,581.162,685.103,520.965,40.695
476.266,374.559,530.929,445.335,544.657,662.706,505.742,36.710
463.587,365.486,474.331,434.964,536.909,700.353,495.938,42.724
482.178,385.571,514.622,475.287,551.980,694.544,517.364,38.361
479.146,349.810,502.551,475.024,547.465,670.162,504.026,38.992
480.289,370.834,531.071,454.198,562.990,664.882,510.711,37.491
485.250,366.579,466.315,463.030,551.879,670.265,500.553,38.079
472.505,351.393,483.598,459.335,553.556,673.529,498.986,40.048
480.284,357.344,482.780,487.629,511.162,739.912,509.852,46.634
460.690,357.595,432.425,446.138,563.667,656.206,486.120,39.648
461.936,359.170,442.787,468.790,546.444,673.456,492.097,39.930
483.210,355.190,459.953,469.210,571.010,692.029,505.100,42.676
482.587,366.000,499.299,437.479,572.040,700.941,509.724,43.195
461.227,358.887,448.465,455.054,559.677,738.176,503.581,48.963
461.472,369.980,455.622,431.575,554.525,678.426,491.933,40.641
462.861,364.470,463.512,452.431,592.788,691.456,504.586,43.615
464.343,373.316,474.370,451.868,554.101,751.868,511.644,48.832
456.656,363.866,486.220,440.802,520.020,694.574,493.690,41.542
462.411,358.704,509.189,443.689,573.000,728.338,512.555,47.479
467.295,370.955,520.890,435.647,528.980,744.000,511.295,47.700
448.778,365.648,565.008,445.802,534.667,697.971,509.645,43.357
451.974,358.235,623.276,414.976,555.354,709.294,518.851,49.879
441.863,378.547,631.512,439.922,526.091,730.515,524.742,49.772
453.648,387.883,669.528,454.796,577.485,719.044,543.731,49.445
452.191,362.024,615.740,446.635,540.626,709.838,521.176,47.305
454.120,370.709,582.732,438.192,521.465,736.971,517.365,48.389
467.094,363.344,561.898,458.263,556.495,716.412,520.584,44.974
450.093,360.413,580.386,455.940,580.242,695.456,520.422,44.882
463.465,353.623,537.307,454.958,558.343,675.926,507.271,40.899
