0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
852.776,491.267,668.293,846.391,456.515,663.048,75.314
860.324,514.134,646.686,845.218,440.914,661.455,75.862
923.012,485.233,671.586,836.676,463.000,675.901,82.125
890.159,510.866,666.450,885.273,460.628,682.675,80.792
863.982,501.983,715.429,846.143,449.723,675.452,76.765
864.753,531.221,681.429,859.710,467.307,680.884,73.158
855.341,515.401,709.129,870.042,475.658,685.114,73.872
877.829,491.663,678.821,851.420,447.634,669.474,79.356
910.147,519.703,695.779,850.912,463.202,687.949,78.691
904.935,505.279,659.400,831.063,437.378,667.611,80.614
853.365,508.465,674.836,837.235,444.366,663.653,74.409
889.365,516.436,719.079,848.059,459.048,686.397,77.194
868.276,525.692,668.371,865.046,442.435,673.964,77.432
