0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
557.154,748.574,380.549,897.563,719.033,686.073,638.276,755.089,433.575,646.210,51.662
526.248,729.366,366.975,895.828,741.600,644.637,640.865,701.332,437.415,631.585,51.571
516.114,714.519,369.056,909.788,770.371,666.726,634.411,754.397,420.113,639.500,55.140
544.007,704.153,385.926,888.709,785.733,661.866,627.374,752.836,442.925,643.725,51.287
541.396,719.477,355.735,918.987,713.010,672.196,603.755,742.621,441.123,634.255,53.535
524.570,756.817,399.235,964.907,730.657,663.253,601.577,765.584,444.453,650.117,55.979
523.101,701.562,378.568,973.669,729.252,657.782,600.816,762.369,462.991,643.345,55.906
487.235,669.979,363.858,931.570,706.748,609.642,610.650,722.897,417.651,613.359,54.622
512.423,694.434,363.506,941.940,704.300,643.637,597.031,753.780,453.887,629.438,54.368
472.779,680.123,382.586,929.424,652.757,629.454,570.147,733.070,411.009,606.817,53.971
493.960,663.574,388.519,916.874,669.748,652.820,566.669,737.393,434.038,613.733,51.389
494.658,655.757,376.296,931.709,637.776,606.296,550.000,724.126,400.330,597.439,53.687
490.087,651.200,385.852,891.497,655.657,589.844,587.356,708.065,444.481,600.449,47.759
456.436,618.753,359.580,888.404,656.714,605.196,593.074,685.561,463.481,591.911,48.509
454.792,628.362,367.623,873.815,601.748,610.266,565.969,680.164,433.972,579.634,47.452
452.309,589.574,341.778,885.947,587.771,588.368,551.620,694.551,426.925,568.760,50.074
498.416,607.098,341.117,840.656,586.876,599.763,572.141,681.121,441.991,574.353,44.705
486.376,609.587,369.185,835.914,619.405,603.656,618.025,676.752,438.236,584.126,43.382
498.188,591.596,367.957,817.934,595.524,596.667,575.092,698.145,398.302,571.045,43.772
