0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
530.760,598.245,850.036,306.355,469.539,303.182,303.991,423.330,386.057,503.153,364.238,1263.807,486.193,821.808,687.885,297.525,459.886,361.875,424.651,518.027,54.434
522.672,598.934,839.246,302.151,458.697,329.364,301.856,381.287,370.579,506.574,362.113,1257.321,475.833,823.721,705.990,292.265,456.314,386.300,425.465,515.615,54.309
547.902,580.806,847.970,308.931,451.674,312.709,296.640,415.564,357.064,519.723,352.188,1192.872,457.500,821.923,691.691,296.830,480.308,363.575,419.512,511.336,52.144
531.131,603.513,860.385,306.675,456.697,310.055,292.243,381.096,362.736,525.104,360.188,1272.075,482.254,777.712,726.696,291.925,468.070,366.825,467.395,518.041,55.077
496.290,603.700,871.398,313.864,442.955,296.018,286.234,415.947,347.971,529.198,379.562,1245.818,449.754,830.788,753.393,299.710,462.330,366.925,410.791,515.929,55.556
506.104,589.381,849.363,317.211,457.551,295.109,279.495,416.511,371.336,512.396,352.712,1227.904,447.482,747.385,695.592,316.370,453.541,356.000,390.070,504.290,52.676
531.197,579.223,850.510,307.377,415.472,308.327,290.405,404.617,366.371,516.550,375.119,1236.770,464.746,825.183,717.749,299.415,478.741,371.200,438.163,514.586,53.986
506.596,584.590,852.876,301.901,462.989,303.091,291.198,368.457,377.071,508.559,359.800,1225.209,455.825,786.308,717.937,303.320,474.714,371.775,378.163,506.862,53.517
525.000,561.322,850.295,310.485,464.315,323.545,278.126,402.670,364.686,519.124,339.694,1254.471,483.000,805.404,676.162,305.555,481.476,354.050,445.767,512.902,53.971
559.000,601.337,863.598,320.741,443.742,296.073,290.225,394.766,371.157,531.327,354.488,1220.358,460.482,810.067,662.230,290.900,477.049,365.475,427.605,512.664,53.263
524.246,604.399,852.413,315.145,439.022,286.291,267.622,386.234,334.250,511.663,368.337,1228.701,446.886,801.548,696.445,301.640,475.908,382.675,407.465,506.889,54.081
503.891,590.813,848.514,311.873,427.101,297.509,296.568,403.234,352.707,541.550,353.288,1248.230,459.921,752.279,674.901,294.770,472.486,382.075,446.349,508.319,53.186
